game.c:20: ---==== BEGIN ====---
gf2d_graphics.c:132: graphics initialized
gf2d_sprite.c:45: sprite system initialized
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 27.027027 FPS
game.c:65: Rendering at 50.000000 FPS
game.c:65: Rendering at 29.411764 FPS
game.c:65: Rendering at 52.631580 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 25.641026 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 31.250000 FPS
game.c:65: Rendering at 50.000000 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 55.555557 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 30.303030 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 30.303030 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 22.727272 FPS
game.c:65: Rendering at 24.390244 FPS
game.c:65: Rendering at 23.809525 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 22.222221 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 20.833334 FPS
game.c:65: Rendering at 27.027027 FPS
game.c:65: Rendering at 26.315790 FPS
game.c:65: Rendering at 25.000000 FPS
game.c:65: Rendering at 16.949152 FPS
game.c:65: Rendering at 16.129032 FPS
game.c:65: Rendering at 22.727272 FPS
game.c:65: Rendering at 23.255814 FPS
game.c:65: Rendering at 23.255814 FPS
game.c:65: Rendering at 22.727272 FPS
game.c:65: Rendering at 19.230770 FPS
game.c:65: Rendering at 19.607843 FPS
game.c:65: Rendering at 25.641026 FPS
game.c:65: Rendering at 23.255814 FPS
game.c:65: Rendering at 26.315790 FPS
game.c:65: Rendering at 30.303030 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 31.250000 FPS
game.c:65: Rendering at 50.000000 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 31.250000 FPS
game.c:65: Rendering at 31.250000 FPS
game.c:65: Rendering at 55.555557 FPS
game.c:65: Rendering at 31.250000 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 52.631580 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 29.411764 FPS
game.c:65: Rendering at 29.411764 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 50.000000 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 29.411764 FPS
game.c:65: Rendering at 50.000000 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 31.250000 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 24.390244 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 50.000000 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 30.303030 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 27.777779 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 55.555557 FPS
game.c:65: Rendering at 27.027027 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 31.250000 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 31.250000 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 52.631580 FPS
game.c:65: Rendering at 30.303030 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 29.411764 FPS
game.c:65: Rendering at 52.631580 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 25.641026 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 52.631580 FPS
game.c:65: Rendering at 29.411764 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 50.000000 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 52.631580 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 27.027027 FPS
game.c:65: Rendering at 52.631580 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 26.315790 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 52.631580 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 29.411764 FPS
game.c:65: Rendering at 55.555557 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 52.631580 FPS
game.c:65: Rendering at 31.250000 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 31.250000 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 50.000000 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 55.555557 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 50.000000 FPS
game.c:65: Rendering at 31.250000 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 27.777779 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 62.500000 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 29.411764 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 20.408163 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 30.303030 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 50.000000 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 58.823528 FPS
game.c:65: Rendering at 52.631580 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 52.631580 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 30.303030 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 29.411764 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 50.000000 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 30.303030 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 31.250000 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 30.303030 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 31.250000 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 58.823528 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 52.631580 FPS
game.c:65: Rendering at 31.250000 FPS
game.c:65: Rendering at 30.303030 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 27.027027 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 50.000000 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 31.250000 FPS
game.c:65: Rendering at 55.555557 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 25.641026 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 52.631580 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 26.315790 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 24.390244 FPS
game.c:65: Rendering at 62.500000 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 25.000000 FPS
game.c:65: Rendering at 62.500000 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 55.555557 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 29.411764 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 55.555557 FPS
game.c:65: Rendering at 30.303030 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 31.250000 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 29.411764 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 30.303030 FPS
game.c:65: Rendering at 50.000000 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 50.000000 FPS
game.c:65: Rendering at 29.411764 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 29.411764 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 47.619049 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 25.641026 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 25.641026 FPS
game.c:65: Rendering at 50.000000 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 52.631580 FPS
game.c:65: Rendering at 27.027027 FPS
game.c:65: Rendering at 50.000000 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 62.500000 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 50.000000 FPS
game.c:65: Rendering at 25.641026 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 24.390244 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 32.258064 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 33.333332 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 27.027027 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 27.777779 FPS
game.c:65: Rendering at 41.666668 FPS
game.c:65: Rendering at 35.714287 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 30.303030 FPS
game.c:65: Rendering at 45.454544 FPS
game.c:65: Rendering at 50.000000 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 26.315790 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 43.478260 FPS
game.c:65: Rendering at 52.631580 FPS
game.c:65: Rendering at 34.482758 FPS
game.c:65: Rendering at 40.000000 FPS
game.c:65: Rendering at 37.037037 FPS
game.c:65: Rendering at 38.461540 FPS
game.c:65: Rendering at 29.411764 FPS
